Dates,SPX Index,NDX Index,XAU Curncy,DXY Curncy,EHFI251 Index,EHFI451 Index,EHFI453 Index,EHPIUS Index,GDP CQOQ Index
28/09/1990,306.05,177.06,408.4,85.91,#N/A N/A,#N/A N/A,#N/A N/A,5.53,0.3
31/10/1990,304,172.56,379.5,83.27,#N/A N/A,#N/A N/A,#N/A N/A,5.53,0.3
30/11/1990,322.22,192.66,384.85,82.94,#N/A N/A,#N/A N/A,#N/A N/A,5.53,0.3
31/12/1990,330.22,200.53,382.8,83.12,#N/A N/A,#N/A N/A,#N/A N/A,6.23,-3.6
31/01/1991,343.93,232.43,366,82,#N/A N/A,#N/A N/A,#N/A N/A,6.23,-3.6
28/02/1991,367.07,250.12,362.7,84.07,#N/A N/A,#N/A N/A,#N/A N/A,6.23,-3.6
29/03/1991,375.22,264.9,355.65,92.01,#N/A N/A,#N/A N/A,#N/A N/A,5.3,-1.9
30/04/1991,375.35,263.65,357.75,91.54,#N/A N/A,#N/A N/A,#N/A N/A,5.3,-1.9
31/05/1991,389.83,279,360.4,93.15,#N/A N/A,#N/A N/A,#N/A N/A,5.3,-1.9
28/06/1991,371.16,254.19,368.35,96.03,#N/A N/A,#N/A N/A,#N/A N/A,4.87,3.2
31/07/1991,387.81,272.15,362.85,93.49,#N/A N/A,#N/A N/A,#N/A N/A,4.87,3.2
30/08/1991,395.43,287.4,347.4,93.49,#N/A N/A,#N/A N/A,#N/A N/A,4.87,3.2
30/09/1991,387.86,287.54,354.9,89.9,#N/A N/A,#N/A N/A,#N/A N/A,3.87,2
31/10/1991,392.46,292.51,357.45,89.94,#N/A N/A,#N/A N/A,#N/A N/A,3.87,2
29/11/1991,375.22,284.79,366.3,88.19,#N/A N/A,#N/A N/A,#N/A N/A,3.87,2
31/12/1991,417.09,330.86,353.15,83.53,#N/A N/A,#N/A N/A,#N/A N/A,3,1.4
31/01/1992,408.79,338.31,354.1,87.49,#N/A N/A,#N/A N/A,#N/A N/A,3,1.4
28/02/1992,412.7,345.88,353.75,88.99,#N/A N/A,#N/A N/A,#N/A N/A,3,1.4
31/03/1992,403.69,323.05,341.7,89.65,#N/A N/A,#N/A N/A,#N/A N/A,2.87,4.9
30/04/1992,414.95,307.86,336.35,89.62,#N/A N/A,#N/A N/A,#N/A N/A,2.87,4.9
29/05/1992,415.35,315.3,337.5,87.22,#N/A N/A,#N/A N/A,#N/A N/A,2.87,4.9
30/06/1992,408.14,301.23,343.4,83.72,#N/A N/A,#N/A N/A,#N/A N/A,3.1,4.4
31/07/1992,424.21,310.9,357.85,81.91,#N/A N/A,#N/A N/A,#N/A N/A,3.1,4.4
31/08/1992,414.03,299.26,342,78.88,#N/A N/A,#N/A N/A,#N/A N/A,3.1,4.4
30/09/1992,417.8,313.18,349,81.1,#N/A N/A,#N/A N/A,#N/A N/A,3.1,4
30/10/1992,418.68,329.15,339.25,87.63,#N/A N/A,#N/A N/A,#N/A N/A,3.1,4
30/11/1992,431.35,350.96,334.2,90.83,#N/A N/A,#N/A N/A,#N/A N/A,3.1,4
31/12/1992,435.71,360.18,332.9,92.36,#N/A N/A,#N/A N/A,#N/A N/A,3.03,4.2
29/01/1993,438.78,370.56,330.45,92.46,#N/A N/A,#N/A N/A,#N/A N/A,3.03,4.2
26/02/1993,443.38,351.14,327.6,94.01,#N/A N/A,#N/A N/A,#N/A N/A,3.03,4.2
31/03/1993,451.67,359.42,337.8,91.87,#N/A N/A,#N/A N/A,#N/A N/A,3.2,0.7
30/04/1993,440.19,339.94,354.3,89.5,#N/A N/A,#N/A N/A,#N/A N/A,3.2,0.7
31/05/1993,450.19,368.11,374.75,89.08,#N/A N/A,#N/A N/A,#N/A N/A,3.2,0.7
30/06/1993,450.53,366.13,378.45,93.61,#N/A N/A,#N/A N/A,#N/A N/A,3.13,2.3
30/07/1993,448.13,352.87,401.75,95.37,#N/A N/A,#N/A N/A,#N/A N/A,3.13,2.3
31/08/1993,463.56,372.65,371.55,93.95,#N/A N/A,#N/A N/A,#N/A N/A,3.13,2.3
30/09/1993,458.93,382.72,355.5,92.82,#N/A N/A,#N/A N/A,#N/A N/A,2.77,1.9
29/10/1993,467.83,390.99,369.6,95.08,#N/A N/A,#N/A N/A,#N/A N/A,2.77,1.9
30/11/1993,461.79,386.76,370.9,96.21,#N/A N/A,#N/A N/A,#N/A N/A,2.77,1.9
31/12/1993,466.45,398.28,390.7,96.84,#N/A N/A,#N/A N/A,#N/A N/A,2.73,5.5
31/01/1994,481.61,413.99,377.9,95.59,#N/A N/A,#N/A N/A,#N/A N/A,2.73,5.5
28/02/1994,467.14,412.17,381.55,94.55,#N/A N/A,#N/A N/A,#N/A N/A,2.73,5.5
31/03/1994,445.77,382.96,389.2,93.06,#N/A N/A,#N/A N/A,#N/A N/A,2.5,3.9
29/04/1994,450.91,373.25,376.45,92.12,#N/A N/A,#N/A N/A,#N/A N/A,2.5,3.9
31/05/1994,456.5,378.85,387.6,92.52,#N/A N/A,#N/A N/A,#N/A N/A,2.5,3.9
30/06/1994,444.27,360.3,388.25,89.62,#N/A N/A,#N/A N/A,#N/A N/A,2.4,5.5
29/07/1994,458.26,370.16,384,89.87,#N/A N/A,#N/A N/A,#N/A N/A,2.4,5.5
31/08/1994,475.49,397.9,385.75,89.67,#N/A N/A,#N/A N/A,#N/A N/A,2.4,5.5
30/09/1994,462.69,393.85,394.85,87.88,#N/A N/A,#N/A N/A,#N/A N/A,2.9,2.4
31/10/1994,472.35,413.05,383.85,85.69,#N/A N/A,#N/A N/A,#N/A N/A,2.9,2.4
30/11/1994,453.69,404.82,383.1,89.13,#N/A N/A,#N/A N/A,#N/A N/A,2.9,2.4
30/12/1994,459.27,404.27,383.2,88.72,#N/A N/A,#N/A N/A,#N/A N/A,2.67,4.7
31/01/1995,470.42,405.33,375.1,87.99,#N/A N/A,#N/A N/A,#N/A N/A,2.67,4.7
28/02/1995,487.39,432.5,377.1,85.93,#N/A N/A,#N/A N/A,#N/A N/A,2.67,4.7
31/03/1995,500.71,447.15,391.4,81.9,#N/A N/A,#N/A N/A,#N/A N/A,2.87,1.4
28/04/1995,514.71,469.56,387.1,81.8,#N/A N/A,#N/A N/A,#N/A N/A,2.87,1.4
31/05/1995,533.4,488.1,384.3,82.57,#N/A N/A,#N/A N/A,#N/A N/A,2.87,1.4
